theta_min,theta_max,p_min,p_max,dKdThetadP,Stat,Sys
0,20,0.8,1.6,0.5,0.2,0.03
0,20,1.6,2.4,1.5,0.3,0.1
0,20,2.4,3.2,0.9,0.3,0.1
0,20,3.2,4,1.7,0.4,0.2
0,20,4,4.8,1.7,0.3,0.2
0,20,4.8,5.6,1.7,0.3,0.2
0,20,5.6,6.4,1.2,0.3,0.1
0,20,6.4,7.6,1.2,0.3,0.1
0,20,7.6,8.8,1.2,0.2,0.1
0,20,8.8,10,0.5,0.2,0.04
0,20,10,11.6,0.7,0.2,0.1
0,20,11.6,13.2,0.2,0.1,0.02
0,20,13.2,14.8,0.4,0.1,0.1
0,20,14.8,16.4,0.1,0.2,0.02
20,40,0.8,1.6,1.9,0.4,0.1
20,40,1.6,2.4,3.9,0.5,0.2
20,40,2.4,3.2,5.5,0.6,0.2
20,40,3.2,4,4.9,0.6,0.2
20,40,4,4.8,5,0.6,0.2
20,40,4.8,5.6,5.4,0.6,0.2
20,40,5.6,6.4,4.1,0.6,0.2
20,40,6.4,7.6,3,0.4,0.1
20,40,7.6,8.8,3.2,0.4,0.2
20,40,8.8,10,2.2,0.3,0.1
20,40,10,11.6,1.7,0.2,0.1
20,40,11.6,13.2,0.7,0.2,0.1
20,40,13.2,14.8,0.2,0.1,0.02
20,40,14.8,16.4,0.1,0.06,0.01
20,40,16.4,18,0.1,0.06,0.02
20,40,18,19.6,0.1,0.06,0.02
40,60,0.8,1.6,4.1,0.9,0.1
40,60,1.6,2.4,6.5,0.9,0.2
40,60,2.4,3.2,8.2,1.1,0.2
40,60,3.2,4,8,1,0.2
40,60,4,4.8,7.5,1,0.2
40,60,4.8,5.6,5.6,0.7,0.2
40,60,5.6,6.4,6.6,0.9,0.2
40,60,6.4,7.6,4.4,0.6,0.2
40,60,7.6,8.8,3,0.4,0.1
40,60,8.8,10,1.2,0.2,0.1
40,60,10,11.6,1.5,0.2,0.1
40,60,11.6,13.2,0.8,0.1,0.04
40,60,13.2,14.8,0.1,0.1,0.01
40,60,14.8,16.4,0.1,0.04,0
40,60,16.4,18,0.1,0.04,0
60,100,0.8,1.6,5.5,0.9,0.2
60,100,1.6,2.4,9.6,1,0.3
60,100,2.4,3.2,9.1,0.9,0.3
60,100,3.2,4,9.7,0.9,0.3
60,100,4,4.8,8,0.6,0.2
60,100,4.8,5.6,6.6,0.5,0.2
60,100,5.6,6.4,4.7,0.4,0.1
60,100,6.4,7.6,2.5,0.2,0.1
60,100,7.6,8.8,1.7,0.2,0.1
60,100,8.8,10,1.1,0.2,0.05
60,100,10,11.6,0.5,0.1,0.03
60,100,11.6,13.2,0.1,0.03,0
60,100,13.2,14.8,0.1,0.1,0.01
60,100,14.8,16.4,0.01,0.01,0
60,100,16.4,18,0.01,0.01,0
100,140,0.8,1.6,7.3,1.5,0.2
100,140,1.6,2.4,11.4,1.2,0.4
100,140,2.4,3.2,10,0.9,0.3
100,140,3.2,4,8.5,0.7,0.2
100,140,4,4.8,5.4,0.6,0.1
100,140,4.8,5.6,3.9,0.5,0.1
100,140,5.6,6.4,1.5,0.3,0.05
100,140,6.4,7.6,1.4,0.2,0.05
100,140,7.6,8.8,0.6,0.1,0.02
100,140,8.8,10,0.2,0.1,0.01
100,140,10,11.6,0.02,0.02,0
100,140,11.6,13.2,0.3,0.3,0.01
140,180,0.8,1.6,12.7,4.1,0.4
140,180,1.6,2.4,15.9,1.7,0.5
140,180,2.4,3.2,8.9,1,0.2
140,180,3.2,4,6.4,0.8,0.2
140,180,4,4.8,2.7,0.5,0.1
140,180,4.8,5.6,2,0.5,0.1
140,180,5.6,6.4,1.6,0.4,0.05
140,180,6.4,7.6,0.4,0.2,0.02
140,180,7.6,8.8,0.5,0.5,0.02
180,240,0.8,1.6,11.3,2.5,0.4
180,240,1.6,2.4,11.3,1.7,0.4
180,240,2.4,3.2,5,0.9,0.1
180,240,3.2,4,3.6,0.9,0.1
180,240,4,4.8,1.5,0.6,0.04
180,240,4.8,5.6,1.4,0.5,0.04
180,240,5.6,6.4,0.1,0.1,0.01
